,date,open,high,low,close,volume,money
0,2005-01-04,36.4,36.8,36.0,36.45,234881.0,8566179.0
1,2005-01-05,36.4,37.28,36.23,37.24,613933.0,22582400.0
2,2005-01-06,37.0,37.1,36.5,36.6,552372.0,20282548.0
3,2005-01-07,36.5,37.2,36.5,36.9,300274.0,11115440.0
4,2005-01-10,36.9,38.3,36.9,38.25,1071811.0,40597723.0
5,2005-01-11,38.26,38.6,38.2,38.3,500356.0,19240403.0
6,2005-01-12,38.28,38.45,37.88,38.4,338903.0,12949338.0
7,2005-01-13,38.1,38.85,38.1,38.62,288383.0,11159242.0
8,2005-01-14,38.45,38.7,37.7,37.92,333847.0,12691131.0
9,2005-01-17,37.45,38.18,37.11,37.9,181239.0,6845213.0
10,2005-01-18,37.9,38.5,37.7,38.5,263820.0,10016326.0
11,2005-01-19,38.0,38.88,37.9,37.92,265200.0,10180585.0
12,2005-01-20,37.84,37.99,37.5,37.91,97405.0,3670093.0
13,2005-01-21,37.6,38.0,36.5,37.9,317736.0,11879307.0
14,2005-01-24,37.95,38.59,37.68,38.26,417340.0,15943177.0
15,2005-01-25,38.5,39.5,38.15,39.39,581665.0,22704867.0
16,2005-01-26,39.45,39.8,38.98,39.39,373498.0,14767520.0
17,2005-01-27,39.09,39.45,39.09,39.22,102162.0,4007784.0
18,2005-01-28,39.22,39.22,38.61,39.09,134123.0,5226481.0
19,2005-01-31,38.6,39.4,38.6,39.36,116507.0,4552532.0
20,2005-02-01,39.0,39.3,38.67,39.0,400260.0,15598247.0
21,2005-02-02,38.91,39.98,38.91,39.85,537817.0,21280023.0
22,2005-02-03,39.85,39.85,39.0,39.35,444264.0,17455936.0
23,2005-02-04,39.39,39.85,39.0,39.66,400838.0,15785371.0
24,2005-02-16,39.98,40.0,39.6,39.82,444063.0,17660778.0
25,2005-02-17,39.95,39.95,38.8,39.02,1159168.0,45296879.0
26,2005-02-18,38.86,39.3,38.86,39.26,959549.0,37550338.0
27,2005-02-21,39.28,40.5,39.27,40.3,1062998.0,42401501.0
28,2005-02-22,40.3,40.5,40.0,40.39,562902.0,22687067.0
29,2005-02-23,40.48,41.5,40.16,41.42,564706.0,23056177.0
30,2005-02-24,41.3,43.15,41.01,43.0,944726.0,40046102.0
31,2005-02-25,43.25,43.25,42.53,42.98,599053.0,25777149.0
32,2005-02-28,42.98,44.26,42.68,43.5,448344.0,19453353.0
33,2005-03-01,43.9,43.9,42.8,43.47,550609.0,23670511.0
34,2005-03-02,42.88,43.39,42.5,42.51,1139674.0,48820913.0
35,2005-03-03,42.28,42.98,42.2,42.78,342985.0,14586728.0
36,2005-03-04,42.43,43.4,42.43,43.2,436496.0,18804824.0
37,2005-03-07,43.25,45.0,43.25,44.65,1022284.0,45290496.0
38,2005-03-08,45.0,45.38,44.31,45.26,658554.0,29575338.0
39,2005-03-09,45.6,46.78,45.3,46.08,471303.0,21694338.0
40,2005-03-10,47.0,47.0,44.3,45.62,472621.0,21498741.0
41,2005-03-11,45.6,46.78,44.7,46.38,936231.0,42521284.0
42,2005-03-14,45.8,48.9,45.6,47.32,1037897.0,48987452.0
43,2005-03-15,47.3,47.55,46.6,46.88,578303.0,27220784.0
44,2005-03-16,46.5,47.0,45.95,46.88,682964.0,31720439.0
45,2005-03-17,46.7,48.29,46.2,47.49,501569.0,23726912.0
46,2005-03-18,47.49,47.6,46.5,47.14,240549.0,11319532.0
47,2005-03-21,47.0,47.45,46.0,47.0,270126.0,12692125.0
48,2005-03-22,47.0,49.38,46.8,48.78,1225920.0,59468831.0
49,2005-03-23,48.9,50.2,48.74,49.03,1255123.0,62550272.0
50,2005-03-24,49.0,49.15,46.5,47.02,916267.0,43515225.0
51,2005-03-25,47.0,47.9,46.22,47.28,232946.0,10960985.0
52,2005-03-28,47.3,49.38,47.0,49.09,242851.0,11802982.0
53,2005-03-29,49.09,49.9,48.0,48.11,244856.0,11989719.0
54,2005-03-30,48.0,48.0,47.1,47.37,248040.0,11744620.0
55,2005-03-31,47.02,48.2,46.8,48.11,150718.0,7129716.0
56,2005-04-01,48.08,50.1,48.0,48.97,341085.0,16774374.0
57,2005-04-04,48.97,50.09,48.45,49.94,542751.0,26985512.0
58,2005-04-05,50.2,50.99,49.7,49.95,490233.0,24660016.0
59,2005-04-06,50.17,51.29,49.59,51.16,567488.0,28795816.0
60,2005-04-07,51.2,52.49,50.0,50.08,1243752.0,64340829.0
61,2005-04-08,50.08,50.08,48.31,49.9,450513.0,22165004.0
62,2005-04-11,49.8,49.8,47.7,48.2,912619.0,44306742.0
63,2005-04-12,48.22,48.3,47.35,47.57,199491.0,9516181.0
64,2005-04-13,48.3,49.39,48.0,48.89,868912.0,42332154.0
65,2005-04-14,48.9,49.18,48.1,48.99,191460.0,9295179.0
66,2005-04-15,49.5,49.5,48.5,48.8,163559.0,7963442.0
67,2005-04-18,48.68,48.7,47.52,47.56,295745.0,14168640.0
68,2005-04-19,47.5,47.78,46.4,46.5,780795.0,36608850.0
69,2005-04-20,46.48,46.99,46.32,46.84,535762.0,24960623.0
70,2005-04-21,46.6,48.5,46.5,48.27,280896.0,13403617.0
71,2005-04-22,48.33,48.74,47.9,48.12,352043.0,16950065.0
72,2005-04-25,49.1,52.5,48.61,52.0,1270437.0,65092003.0
73,2005-04-26,51.99,53.53,51.8,52.27,1360923.0,71600714.0
74,2005-04-27,51.88,53.12,51.81,52.82,747270.0,39437614.0
75,2005-04-28,52.82,53.5,52.23,53.0,852121.0,45118705.0
76,2005-04-29,52.3,53.15,52.01,53.0,682503.0,35950860.0
77,2005-05-09,52.5,52.95,51.31,51.52,765575.0,39655697.0
78,2005-05-10,51.0,51.3,49.8,50.66,644694.0,32384041.0
79,2005-05-11,50.7,50.7,49.2,49.35,678491.0,33782884.0
80,2005-05-12,48.5,50.47,48.05,48.9,1425051.0,69749251.0
81,2005-05-13,48.51,49.89,47.99,48.72,1507669.0,73784829.0
82,2005-05-16,48.48,49.3,48.18,48.9,259641.0,12703148.0
83,2005-05-17,49.0,50.1,48.9,49.65,772452.0,38326325.0
84,2005-05-18,49.89,49.9,46.52,48.0,967809.0,46208050.0
85,2005-05-19,48.0,49.65,47.05,49.17,512332.0,25028891.0
86,2005-05-20,49.01,50.14,49.01,49.15,584502.0,29146429.0
87,2005-05-23,49.01,49.89,48.0,48.39,261457.0,12730239.0
88,2005-05-24,48.39,48.65,48.06,48.16,137917.0,6674005.0
89,2005-05-25,48.06,48.1,47.6,47.8,320833.0,15348058.0
90,2005-05-26,47.9,48.01,45.8,46.05,1063427.0,49432691.0
91,2005-05-27,45.5,45.9,44.15,44.8,1594979.0,71377627.0
92,2005-05-30,44.0,45.2,43.31,44.7,903473.0,40352669.0
93,2005-05-31,44.65,45.2,44.28,44.57,1187976.0,53080356.0
94,2005-06-01,44.6,45.0,43.55,44.7,865843.0,38201051.0
95,2005-06-02,44.5,44.5,40.5,41.1,2529774.0,105700729.0
96,2005-06-03,40.5,42.5,39.62,42.19,714669.0,29143703.0
97,2005-06-06,41.83,44.8,41.33,44.64,421356.0,18349446.0
98,2005-06-07,44.95,46.2,44.66,45.24,598946.0,27080944.0
